color,position,condition,key_pressed,response_status,reaction_time,participant_name,participant_age
yellow,left,0,right,1,946.779,DaniilTheBig,23 
yellow,left,0,right,1,512.313,DaniilTheBig,23 
yellow,right,1,right,1,1120.821,DaniilTheBig,23 
yellow,right,1,right,1,528.633,DaniilTheBig,23 
yellow,right,1,right,1,453.362,DaniilTheBig,23 
purple,left,1,left,1,382.914,DaniilTheBig,23 
purple,right,0,right,0,359.103,DaniilTheBig,23 
yellow,left,0,right,1,636.331,DaniilTheBig,23 
yellow,right,1,right,1,631.386,DaniilTheBig,23 
purple,right,0,left,1,504.654,DaniilTheBig,23 
purple,left,1,left,1,666.503,DaniilTheBig,23 
yellow,left,0,right,1,593.318,DaniilTheBig,23 
purple,left,1,left,1,522.639,DaniilTheBig,23 
purple,right,0,left,1,667.899,DaniilTheBig,23 
yellow,right,1,right,1,596.269,DaniilTheBig,23 
yellow,right,1,right,1,432.777,DaniilTheBig,23 
purple,left,1,left,1,525.708,DaniilTheBig,23 
purple,left,1,left,1,781.743,DaniilTheBig,23 
yellow,right,1,right,1,507.122,DaniilTheBig,23 
purple,right,0,left,1,555.066,DaniilTheBig,23 
yellow,right,1,right,1,754.329,DaniilTheBig,23 
yellow,right,1,right,1,930.775,DaniilTheBig,23 
yellow,left,0,right,1,538.333,DaniilTheBig,23 
yellow,right,1,right,1,422.737,DaniilTheBig,23 
purple,left,1,left,1,496.375,DaniilTheBig,23 
purple,left,1,left,1,580.765,DaniilTheBig,23 
purple,left,1,left,1,477.139,DaniilTheBig,23 
yellow,right,1,right,1,588.085,DaniilTheBig,23 
purple,left,1,left,1,1034.13,DaniilTheBig,23 
purple,right,0,left,1,472.193,DaniilTheBig,23 
yellow,right,1,right,1,666.639,DaniilTheBig,23 
yellow,right,1,right,1,668.574,DaniilTheBig,23 
purple,right,0,left,1,545.996,DaniilTheBig,23 
purple,left,1,left,1,569.397,DaniilTheBig,23 
yellow,left,0,right,1,641.586,DaniilTheBig,23 
yellow,left,0,right,1,543.445,DaniilTheBig,23 
purple,left,1,left,1,408.458,DaniilTheBig,23 
purple,right,0,left,1,576.062,DaniilTheBig,23 
purple,right,0,left,1,435.932,DaniilTheBig,23 
purple,left,1,left,1,337.622,DaniilTheBig,23 
yellow,left,0,right,1,423.175,DaniilTheBig,23 
yellow,left,0,right,1,449.066,DaniilTheBig,23 
purple,right,0,left,1,480.589,DaniilTheBig,23 
purple,right,0,left,1,558.825,DaniilTheBig,23 
yellow,left,0,right,1,497.756,DaniilTheBig,23 
purple,right,0,left,1,591.159,DaniilTheBig,23 
purple,right,0,left,1,522.603,DaniilTheBig,23 
yellow,left,0,right,1,361.197,DaniilTheBig,23 
purple,right,0,left,1,845.641,DaniilTheBig,23 
purple,left,1,left,1,777.105,DaniilTheBig,23 
yellow,right,1,right,1,418.527,DaniilTheBig,23 
yellow,left,0,right,1,550.328,DaniilTheBig,23 
yellow,left,0,right,1,450.152,DaniilTheBig,23 
purple,right,0,left,1,480.217,DaniilTheBig,23 
purple,right,0,left,1,582.364,DaniilTheBig,23 
yellow,left,0,right,1,342.953,DaniilTheBig,23 
purple,left,1,left,1,656.448,DaniilTheBig,23 
yellow,left,0,right,1,491.201,DaniilTheBig,23 
yellow,right,1,right,1,1044.382,DaniilTheBig,23 
purple,left,1,left,1,584.621,DaniilTheBig,23 
