color,position,condition,key_pressed,response_status,reaction_time,participant_name,participant_age
purple,right,0,left,1,956.947,Sophia Kokonut,20 
purple,left,1,left,1,536.059,Sophia Kokonut,20 
purple,right,0,left,1,519.333,Sophia Kokonut,20 
yellow,left,0,right,1,591.408,Sophia Kokonut,20 
purple,left,1,left,1,597.41,Sophia Kokonut,20 
purple,right,0,left,1,650.945,Sophia Kokonut,20 
purple,left,1,left,1,489.956,Sophia Kokonut,20 
purple,left,1,left,1,411.918,Sophia Kokonut,20 
yellow,right,1,right,1,523.657,Sophia Kokonut,20 
yellow,left,0,right,1,438.637,Sophia Kokonut,20 
purple,right,0,left,1,523.089,Sophia Kokonut,20 
yellow,left,0,right,1,609.916,Sophia Kokonut,20 
yellow,right,1,right,1,476.422,Sophia Kokonut,20 
yellow,right,1,right,1,447.585,Sophia Kokonut,20 
yellow,right,1,right,1,363.436,Sophia Kokonut,20 
purple,right,0,left,1,525.301,Sophia Kokonut,20 
purple,left,1,left,1,517.345,Sophia Kokonut,20 
purple,left,1,left,1,388.336,Sophia Kokonut,20 
purple,left,1,left,1,456.146,Sophia Kokonut,20 
yellow,left,0,right,1,560.128,Sophia Kokonut,20 
yellow,left,0,right,1,441.509,Sophia Kokonut,20 
yellow,left,0,right,1,618.312,Sophia Kokonut,20 
yellow,left,0,right,1,334.712,Sophia Kokonut,20 
purple,right,0,left,1,475.703,Sophia Kokonut,20 
yellow,right,1,right,1,464.832,Sophia Kokonut,20 
yellow,right,1,right,1,438.97,Sophia Kokonut,20 
purple,left,1,left,1,526.391,Sophia Kokonut,20 
yellow,left,0,left,0,347.185,Sophia Kokonut,20 
yellow,right,1,right,1,679.691,Sophia Kokonut,20 
yellow,left,0,right,1,473.099,Sophia Kokonut,20 
purple,left,1,left,1,484.228,Sophia Kokonut,20 
purple,left,1,left,1,413.291,Sophia Kokonut,20 
purple,left,1,left,1,386.011,Sophia Kokonut,20 
yellow,left,0,right,1,465.231,Sophia Kokonut,20 
purple,right,0,left,1,770.753,Sophia Kokonut,20 
yellow,right,1,right,1,392.281,Sophia Kokonut,20 
yellow,left,0,right,1,619.981,Sophia Kokonut,20 
yellow,right,1,right,1,378.575,Sophia Kokonut,20 
purple,right,0,left,1,549.105,Sophia Kokonut,20 
yellow,right,1,right,1,435.35,Sophia Kokonut,20 
yellow,left,0,right,1,460.554,Sophia Kokonut,20 
purple,left,1,left,1,439.932,Sophia Kokonut,20 
purple,right,0,left,1,538.847,Sophia Kokonut,20 
yellow,right,1,right,1,529.059,Sophia Kokonut,20 
yellow,left,0,right,1,393.359,Sophia Kokonut,20 
purple,left,1,left,1,382.431,Sophia Kokonut,20 
yellow,left,0,left,0,332.943,Sophia Kokonut,20 
yellow,right,1,right,1,566.085,Sophia Kokonut,20 
purple,left,1,left,1,652.523,Sophia Kokonut,20 
purple,right,0,left,1,506.603,Sophia Kokonut,20 
purple,right,0,left,1,419.698,Sophia Kokonut,20 
purple,right,0,left,1,409.809,Sophia Kokonut,20 
purple,left,1,left,1,489.404,Sophia Kokonut,20 
yellow,left,0,right,1,458.356,Sophia Kokonut,20 
purple,right,0,left,1,451.428,Sophia Kokonut,20 
yellow,right,1,right,1,328.631,Sophia Kokonut,20 
purple,right,0,left,1,603.165,Sophia Kokonut,20 
yellow,right,1,right,1,427.741,Sophia Kokonut,20 
purple,right,0,left,1,472.939,Sophia Kokonut,20 
yellow,right,1,right,1,408.486,Sophia Kokonut,20 
